member_a_id,member_b_id,member_a_name,member_b_name,metric
L000174,P000603,Patrick Leahy,Rand Paul,0.0
C000174,M000934,Thomas Carper,Jerry Moran,1.0
A000360,C000567,Lamar Alexander,Thad Cochran,2.0
H000338,W000817,Orrin Hatch,Elizabeth Warren,4.0
R000122,R000584,Jack Reed,Jim Risch,0.0
S001184,S001141,Tim Scott,Jeff Sessions,1.0
B000944,C001098,Sherrod Brown,Ted Cruz,0.0
P000603,P000612,Rand Paul,David Perdue,1.0
B001135,W000802,Richard Burr,Sheldon Whitehouse,1.0
P000612,T000464,David Perdue,Jon Tester,1.0
B001236,S001194,John Boozman,Brian Schatz,2.0
B001236,C001095,John Boozman,Tom Cotton,1.0
C001056,T000461,John Cornyn,Patrick Toomey,3.0
A000368,L000575,Kelly Ayotte,James Lankford,2.0
M000639,R000605,Robert Menendez,Mike Rounds,0.0
B001267,C000880,Michael Bennet,Michael Crapo,1.0
M000303,M001170,John McCain,Claire McCaskill,2.0
C000141,W000805,Benjamin Cardin,Mark Warner,0.0
C001047,F000444,Shelley Capito,Jeff Flake,2.0
D000618,M000303,Steve Daines,John McCain,3.0
H001061,R000307,John Hoeven,Pat Roberts,2.0
C001070,P000595,Bob Casey,Gary Peters,2.0
I000024,M001111,James Inhofe,Patty Murray,3.0
B001288,P000603,Cory Booker,Rand Paul,0.0
C001035,P000449,Susan Collins,Rob Portman,4.0
B001288,S000320,Cory Booker,Richard Shelby,0.0
R000122,T000250,Jack Reed,John Thune,0.0
M000133,R000595,Edward Markey,Marco Rubio,1.0
M001153,S001198,Lisa Murkowski,Dan Sullivan,2.0
G000386,L000575,Charles Grassley,James Lankford,2.0
B001135,W000805,Richard Burr,Mark Warner,2.0
B001267,T000464,Michael Bennet,Jon Tester,0.0
C000127,N000032,Maria Cantwell,Bill Nelson,0.0
A000368,C001035,Kelly Ayotte,Susan Collins,5.0
S000320,W000779,Richard Shelby,Ron Wyden,0.0
C000127,D000607,Maria Cantwell,Joe Donnelly,0.0
P000603,W000779,Rand Paul,Ron Wyden,0.0
M000355,M001153,Mitch McConnell,Lisa Murkowski,1.0
H001046,M001170,Martin Heinrich,Claire McCaskill,1.0
K000384,W000779,Tim Kaine,Ron Wyden,0.0
B001267,B001135,Michael Bennet,Richard Burr,1.0
D000563,S000320,Richard Durbin,Richard Shelby,0.0
F000062,K000384,Dianne Feinstein,Tim Kaine,2.0
C000141,W000802,Benjamin Cardin,Sheldon Whitehouse,0.0
M000702,W000817,Barbara Mikulski,Elizabeth Warren,0.0
C000127,G000562,Maria Cantwell,Cory Gardner,0.0
C000880,W000805,Michael Crapo,Mark Warner,2.0
H001061,V000127,John Hoeven,David Vitter,2.0
H001061,K000383,John Hoeven,Angus King,0.0
C001056,M001111,John Cornyn,Patty Murray,3.0
B000575,M001176,Roy Blunt,Jeff Merkley,1.0
M001170,S001198,Claire McCaskill,Dan Sullivan,3.0
I000024,T000461,James Inhofe,Patrick Toomey,3.0
K000367,S000148,Amy Klobuchar,Charles Schumer,4.0
C000174,V000127,Thomas Carper,David Vitter,2.0
H001069,M001153,Heidi Heitkamp,Lisa Murkowski,2.0
H001046,H001069,Martin Heinrich,Heidi Heitkamp,0.0
K000360,S000770,Mark Kirk,Debbie Stabenow,2.0
H000338,H001069,Orrin Hatch,Heidi Heitkamp,3.0
B001135,P000612,Richard Burr,David Perdue,2.0
C001075,C000567,Bill Cassidy,Thad Cochran,2.0
G000562,L000174,Cory Gardner,Patrick Leahy,1.0
M001183,S001198,Joe Manchin,Dan Sullivan,3.0
L000575,S000033,James Lankford,Bernard Sanders,0.0
H001046,S001141,Martin Heinrich,Jeff Sessions,0.0
C001056,M001169,John Cornyn,Christopher Murphy,0.0
M001176,P000603,Jeff Merkley,Rand Paul,0.0
H001069,J000293,Heidi Heitkamp,Ron Johnson,2.0
B001277,C000567,Richard Blumenthal,Thad Cochran,2.0
P000612,W000817,David Perdue,Elizabeth Warren,1.0
L000577,P000449,Mike Lee,Rob Portman,2.0
B001230,W000802,Tammy Baldwin,Sheldon Whitehouse,2.0
