member_a_id,member_b_id,member_a_name,member_b_name,votes_same,bills_same,mutual_sponsorships
N000032,S000770,Bill Nelson,Debbie Stabenow,17,17,1
C000880,C001098,Michael Crapo,Ted Cruz,15,16,1
B001261,P000449,John Barrasso,Rob Portman,17,17,0
B001230,C000880,Tammy Baldwin,Michael Crapo,13,17,0
C001098,T000250,Ted Cruz,John Thune,15,16,0
G000386,M000934,Charles Grassley,Jerry Moran,16,16,1
B001236,P000612,John Boozman,David Perdue,16,16,1
K000367,T000461,Amy Klobuchar,Patrick Toomey,10,15,1
U000039,V000128,Tom Udall,Chris Van Hollen,16,17,0
M000133,R000307,Edward Markey,Pat Roberts,12,17,0
B000575,T000476,Roy Blunt,Thom Tillis,17,17,2
H001069,S001181,Heidi Heitkamp,Jeanne Shaheen,16,16,0
M000934,S001181,Jerry Moran,Jeanne Shaheen,14,15,0
H001076,M000355,Margaret Hassan,Mitch McConnell,16,17,0
C001071,T000476,Bob Corker,Thom Tillis,13,16,2
C001113,M000639,Catherine Cortez Masto,Robert Menendez,14,15,0
C001098,F000457,Ted Cruz,Al Franken,7,8,0
D000607,D000563,Joe Donnelly,Richard Durbin,14,17,0
B001230,F000457,Tammy Baldwin,Al Franken,7,8,0
S000033,T000250,Bernard Sanders,John Thune,8,17,0
M001170,P000612,Claire McCaskill,David Perdue,16,17,2
C000880,S000033,Michael Crapo,Bernard Sanders,9,17,0
J000293,S001198,Ron Johnson,Dan Sullivan,14,16,0
E000295,M000303,Joni Ernst,John McCain,7,7,1
C001113,W000779,Catherine Cortez Masto,Ron Wyden,11,16,0
C001075,S000770,Bill Cassidy,Debbie Stabenow,15,16,2
K000383,M001170,Angus King,Claire McCaskill,17,17,3
C001047,M001176,Shelley Capito,Jeff Merkley,12,17,0
K000352,N000032,Jon Kyl,Bill Nelson,2,2,0
A000360,M000303,Lamar Alexander,John McCain,6,6,1
C001035,J000293,Susan Collins,Ron Johnson,14,17,0
B001267,G000562,Michael Bennet,Cory Gardner,16,17,1
C001071,G000562,Bob Corker,Cory Gardner,13,16,1
F000463,H001046,Deb Fischer,Martin Heinrich,14,15,1
F000457,P000603,Al Franken,Rand Paul,4,8,0
G000386,R000307,Charles Grassley,Pat Roberts,17,17,1
D000607,S000033,Joe Donnelly,Bernard Sanders,9,17,0
C001047,C000174,Shelley Capito,Thomas Carper,16,17,0
C001071,H001069,Bob Corker,Heidi Heitkamp,14,16,2
C001070,F000062,Bob Casey,Dianne Feinstein,16,17,0
C001056,S001184,John Cornyn,Tim Scott,16,16,1
P000603,S000148,Rand Paul,Charles Schumer,5,17,0
M001183,W000805,Joe Manchin,Mark Warner,16,17,2
I000055,M001183,Johnny Isakson,Joe Manchin,13,14,0
D000618,T000250,Steve Daines,John Thune,17,17,0
C001075,D000563,Bill Cassidy,Richard Durbin,12,16,0
B001267,G000386,Michael Bennet,Charles Grassley,16,17,1
B001288,R000307,Cory Booker,Pat Roberts,13,16,1
G000555,S001141,Kirsten Gillibrand,Jeff Sessions,0,1,0
B001135,W000779,Richard Burr,Ron Wyden,8,16,1
F000444,K000383,Jeff Flake,Angus King,12,15,1
D000618,F000457,Steve Daines,Al Franken,7,8,0
H001075,R000595,Kamala Harris,Marco Rubio,13,16,1
B000575,H001069,Roy Blunt,Heidi Heitkamp,16,17,2
B000575,M000934,Roy Blunt,Jerry Moran,16,16,2
S000033,S001197,Bernard Sanders,Ben Sasse,7,17,0
M000934,W000437,Jerry Moran,Roger Wicker,16,16,1
D000563,N000032,Richard Durbin,Bill Nelson,14,17,0
C001088,M000639,Christopher Coons,Robert Menendez,14,16,1
A000360,L000577,Lamar Alexander,Mike Lee,8,15,1
F000062,F000463,Dianne Feinstein,Deb Fischer,13,16,1
E000285,T000464,Michael Enzi,Jon Tester,15,17,0
L000174,M000303,Patrick Leahy,John McCain,4,7,0
C000127,C000141,Maria Cantwell,Benjamin Cardin,16,16,1
R000605,T000464,Mike Rounds,Jon Tester,15,17,2
M001170,R000595,Claire McCaskill,Marco Rubio,15,16,1
B001288,C001056,Cory Booker,John Cornyn,12,15,1
E000295,L000577,Joni Ernst,Mike Lee,9,17,1
V000128,W000437,Chris Van Hollen,Roger Wicker,13,17,1
B001261,H000338,John Barrasso,Orrin Hatch,17,17,0
M001111,T000464,Patty Murray,Jon Tester,14,16,0
D000607,S000770,Joe Donnelly,Debbie Stabenow,17,17,2
S001202,T000464,Luther Strange,Jon Tester,5,6,1
M000639,W000817,Robert Menendez,Elizabeth Warren,12,16,0
S001141,T000250,Jeff Sessions,John Thune,1,1,0
C001047,H001041,Shelley Capito,Dean Heller,16,17,1
D000622,W000805,Tammy Duckworth,Mark Warner,13,15,0
L000577,P000612,Mike Lee,David Perdue,9,17,1
M000934,S000770,Jerry Moran,Debbie Stabenow,15,16,1
H001069,S000770,Heidi Heitkamp,Debbie Stabenow,17,17,2
B001236,G000386,John Boozman,Charles Grassley,16,16,2
N000032,S001181,Bill Nelson,Jeanne Shaheen,16,16,0
C001113,G000555,Catherine Cortez Masto,Kirsten Gillibrand,12,16,0
P000449,W000437,Rob Portman,Roger Wicker,17,17,1
C001056,S001197,John Cornyn,Ben Sasse,15,16,1
R000595,W000805,Marco Rubio,Mark Warner,15,16,1
P000595,R000584,Gary Peters,Jim Risch,15,17,2
D000618,H001079,Steve Daines,Cindy Hyde-Smith,7,7,0
H001046,P000612,Martin Heinrich,David Perdue,15,16,0
B001288,D000618,Cory Booker,Steve Daines,13,16,1
F000457,S001194,Al Franken,Brian Schatz,8,8,0
B000944,R000584,Sherrod Brown,Jim Risch,14,17,0
B001277,C001035,Richard Blumenthal,Susan Collins,14,17,2
C001075,S001181,Bill Cassidy,Jeanne Shaheen,15,16,0
A000360,C001095,Lamar Alexander,Tom Cotton,15,15,1
S000320,T000476,Richard Shelby,Thom Tillis,17,17,0
F000444,J000300,Jeff Flake,Doug Jones,5,7,0
B001288,W000437,Cory Booker,Roger Wicker,13,16,1
B000575,D000607,Roy Blunt,Joe Donnelly,16,17,2
H001076,M000133,Margaret Hassan,Edward Markey,13,17,0
G000562,H001075,Cory Gardner,Kamala Harris,14,17,1
G000562,T000461,Cory Gardner,Patrick Toomey,13,16,1
C001095,G000562,Tom Cotton,Cory Gardner,16,17,1
D000563,T000476,Richard Durbin,Thom Tillis,13,17,0
S001202,T000476,Luther Strange,Thom Tillis,6,6,1
R000122,W000805,Jack Reed,Mark Warner,16,17,0
H001041,R000595,Dean Heller,Marco Rubio,15,16,1
H001079,S001184,Cindy Hyde-Smith,Tim Scott,7,7,0
K000352,W000805,Jon Kyl,Mark Warner,2,2,0
M000639,S001194,Robert Menendez,Brian Schatz,14,15,0
A000360,K000367,Lamar Alexander,Amy Klobuchar,12,14,2
B001288,S000033,Cory Booker,Bernard Sanders,10,16,0
C001071,N000032,Bob Corker,Bill Nelson,14,16,1
C000127,C001070,Maria Cantwell,Bob Casey,16,16,1
M001169,S001184,Christopher Murphy,Tim Scott,13,17,0
F000444,M001170,Jeff Flake,Claire McCaskill,12,15,1
E000295,Y000064,Joni Ernst,Todd Young,17,17,1
C001095,G000386,Tom Cotton,Charles Grassley,16,17,1
M001183,M001153,Joe Manchin,Lisa Murkowski,16,17,1
E000295,K000367,Joni Ernst,Amy Klobuchar,14,16,1
G000386,H001075,Charles Grassley,Kamala Harris,14,17,1
C001098,H001079,Ted Cruz,Cindy Hyde-Smith,5,6,0
H001041,I000024,Dean Heller,James Inhofe,16,16,2
B001230,H001079,Tammy Baldwin,Cindy Hyde-Smith,7,7,0
S000770,T000476,Debbie Stabenow,Thom Tillis,16,17,1
I000024,V000128,James Inhofe,Chris Van Hollen,11,16,1
B001230,B001288,Tammy Baldwin,Cory Booker,16,16,0
K000383,Y000064,Angus King,Todd Young,16,17,1
B001288,C001098,Cory Booker,Ted Cruz,11,15,1
H001042,P000449,Mazie Hirono,Rob Portman,14,16,0
G000562,N000032,Cory Gardner,Bill Nelson,16,17,1
B000575,N000032,Roy Blunt,Bill Nelson,16,17,1
H001046,W000805,Martin Heinrich,Mark Warner,16,16,0
C000567,S001184,Thad Cochran,Tim Scott,10,10,0
C000127,F000463,Maria Cantwell,Deb Fischer,13,15,1
D000563,H001069,Richard Durbin,Heidi Heitkamp,14,17,0
S000033,T000461,Bernard Sanders,Patrick Toomey,6,16,0
S000033,U000039,Bernard Sanders,Tom Udall,11,17,0
C001075,C001071,Bill Cassidy,Bob Corker,12,15,1
C001035,H001041,Susan Collins,Dean Heller,15,17,1
M001183,W000437,Joe Manchin,Roger Wicker,15,17,1
C000141,F000062,Benjamin Cardin,Dianne Feinstein,15,17,0
C001035,S000148,Susan Collins,Charles Schumer,14,17,1
K000393,S001197,John Kennedy,Ben Sasse,16,17,2
S001194,W000779,Brian Schatz,Ron Wyden,11,16,0
B000575,C001075,Roy Blunt,Bill Cassidy,16,16,2
B000944,U000039,Sherrod Brown,Tom Udall,16,17,1
B001135,G000555,Richard Burr,Kirsten Gillibrand,8,16,0
S001141,W000779,Jeff Sessions,Ron Wyden,0,1,0
C001095,S001184,Tom Cotton,Tim Scott,16,17,2
S001194,T000476,Brian Schatz,Thom Tillis,14,16,0
D000622,S001202,Tammy Duckworth,Luther Strange,5,6,0
S001198,W000779,Dan Sullivan,Ron Wyden,9,16,1
R000307,Y000064,Pat Roberts,Todd Young,17,17,1
F000062,F000444,Dianne Feinstein,Jeff Flake,10,15,0
G000386,M001169,Charles Grassley,Christopher Murphy,13,17,0
R000595,S001202,Marco Rubio,Luther Strange,5,5,1
C001071,P000449,Bob Corker,Rob Portman,13,16,1
J000293,S001203,Ron Johnson,Tina Smith,6,9,0
M001111,R000595,Patty Murray,Marco Rubio,11,15,0
R000605,R000595,Mike Rounds,Marco Rubio,16,16,1
D000622,E000285,Tammy Duckworth,Michael Enzi,12,15,0
M001111,W000437,Patty Murray,Roger Wicker,12,16,0
H001042,N000032,Mazie Hirono,Bill Nelson,15,16,0
F000444,R000307,Jeff Flake,Pat Roberts,13,15,1
B000575,P000449,Roy Blunt,Rob Portman,17,17,2
K000384,W000805,Tim Kaine,Mark Warner,17,17,2
